,id,value,p-value,variable,Significant
0,11154700,0.7972027972027973,0.0019003677255282703,EVI,True
1,11200800,0.6153846153846154,0.03316990109010587,EVI,True
2,11299600,0.4545454545454546,0.13765791634772945,EVI,False
3,11046360,0.8461538461538463,0.000521133700481005,EVI,True
4,11180825,0.7062937062937064,0.010245193941127854,EVI,True
5,11046300,0.8741258741258742,0.00020071307332423193,EVI,True
6,11180960,0.6083916083916086,0.035805997052029234,EVI,True
7,11182500,0.49650349650349657,0.10060263183225483,EVI,False
8,11449500,0.3076923076923077,0.3305892594121097,EVI,False
9,11379500,0.43356643356643365,0.1591057694121953,EVI,False
10,11284400,0.06993006993006995,0.8290236405313092,EVI,False
11,11224500,0.9230769230769231,1.8621951098680987e-05,EVI,True
12,11253310,0.9160839160839163,2.8428045348547105e-05,EVI,True
13,11141280,0.7902097902097903,0.0022231354099909208,EVI,True
14,11151300,0.8461538461538463,0.000521133700481005,EVI,True
15,11469000,0.07692307692307693,0.8121826980280591,EVI,False
16,11111500,0.8321678321678322,0.0007854416778536137,EVI,True
17,11176400,0.7902097902097903,0.0022231354099909208,EVI,True
18,11172945,0.5524475524475525,0.06251148327961512,EVI,False
19,11132500,0.7902097902097903,0.0022231354099909208,EVI,True
20,11475800,0.3076923076923077,0.3305892594121097,EVI,False
21,11134800,0.7972027972027973,0.0019003677255282703,EVI,True
22,11180900,0.5034965034965035,0.09515736659412469,EVI,False
23,11475560,0.5244755244755246,0.08001937592027475,EVI,False
24,11476600,0.14685314685314685,0.6487957097846664,EVI,False
25,00000000,0.11188811188811189,0.729194990751066,EVI,False
25,00000000,-1.0,1.0,Storage,False
23,11475560,0.055944055944055944,0.8628980736949712,Storage,False
20,11475800,0.19999999999999998,0.6059012741795533,Storage,False
15,11469000,0.3216783216783217,0.30790987618065263,Storage,False
8,11449500,0.3426573426573427,0.27556745095678037,Storage,False
9,11379500,0.44755244755244755,0.14458630130334754,Storage,False
24,11476600,0.5454545454545455,0.06661188226688902,Storage,False
18,11172945,0.7622377622377624,0.003950448972542651,Storage,True
22,11180900,0.8461538461538463,0.000521133700481005,Storage,True
6,11180960,0.8531468531468532,0.00041811794041499725,Storage,True
4,11180825,0.8741258741258742,0.00020071307332423193,Storage,True
7,11182500,0.8951048951048951,8.36658642909172e-05,Storage,True
2,11299600,0.9300699300699302,1.170222792865967e-05,Storage,True
0,11154700,0.9454545454545455,1.1183037701493072e-05,Storage,True
17,11176400,0.965034965034965,3.88098529962746e-07,Storage,True
14,11151300,0.9720279720279721,1.2868115751495013e-07,Storage,True
12,11253310,0.9720279720279721,1.2868115751495013e-07,Storage,True
21,11134800,0.9761904761904762,3.314396026200146e-05,Storage,True
19,11132500,0.9790209790209792,3.0898013985487064e-08,Storage,True
13,11141280,0.9860139860139862,4.1168959116543284e-09,Storage,True
10,11284400,0.9930069930069931,1.3016730560634403e-10,Storage,True
5,11046300,0.9930069930069931,1.3016730560634403e-10,Storage,True
1,11200800,0.9930069930069931,1.3016730560634403e-10,Storage,True
11,11224500,1.0,0.0,Storage,True
16,11111500,1.0,0.0,Storage,True
3,11046360,1.0,0.0,Storage,True
