USGS Basin,fire_year,fraction_catchment
10256300,1986,0.007610513
10256300,1983,0.000577471
10256300,1977,0.003421012
10256300,1979,0.000872404
10256300,1979,0.056389355
10256300,1979,0.000753323
10256300,1979,0.001150039
10256300,1979,0.003490345
10256300,1993,0.004830107
10256300,1996,0.001079512
10256300,1982,0.006116623
10256300,2000,0.005096541
10256300,1986,0.014406127
10256300,1988,0.006346298
10256300,1995,0.004213978
10256300,1981,9.60E-09
10256300,2009,0.004938109
10256300,2010,0.009018523
10256300,2013,0.065263314
10256300,2013,0.005274147
10256300,2016,0.001900386
10256500,2007,0.014485792
10256500,1933,0.00300309
10256500,2004,0.130483732
10256500,1932,0.076957735
10256500,1911,0.016363357
10256500,1939,0.02190962
10256500,1972,0.018593433
10256500,1972,0.004100887
10256500,1985,0.156664192
10256500,1966,0.006721091
10256500,1966,0.006335822
10256500,1973,0.369171806
10256500,1980,0.00536106
10256500,1982,0.001054529
10256500,2013,0.002221256
10256501,2007,0.014485792
10256501,1933,0.00300309
10256501,2004,0.130483732
10256501,1932,0.076957735
10256501,1911,0.016363357
10256501,1939,0.02190962
10256501,1972,0.018593433
10256501,1972,0.004100887
10256501,1985,0.156664192
10256501,1966,0.006721091
10256501,1966,0.006335822
10256501,1973,0.369171806
10256501,1980,0.00536106
10256501,1982,0.001054529
10256501,2013,0.002221256
10257499,2005,0.0341952
10257499,1941,0.089101296
10257499,1983,0.016095305
10257499,1985,0.779967648
10257499,1973,0.037517943
10257499,1973,0.16112221
10257499,1980,0.019302098
10257499,1980,0.037111612
10257500,2005,0.0341952
10257500,1941,0.089101296
10257500,1983,0.016095305
10257500,1985,0.779967648
10257500,1973,0.037517943
10257500,1973,0.16112221
10257500,1980,0.019302098
10257500,1980,0.037111612
10257600,1933,0.001343821
10257600,2004,0.002359186
10257600,1950,0.293548758
10257600,1950,0.020306879
10257600,1925,0.012548744
10257600,1995,0.106499327
10257600,2006,0.29274546
10257600,2006,0.410853861
10257600,2015,0.220077769
10257710,2005,0.128027111
10257710,1941,0.612030506
10257710,1974,0.240315532
10257710,1985,0.380238858
10257710,1977,0.077910243
10257710,1980,0.535430209
10257710,1980,0.026400578
10257710,2013,0.021126005
10257720,2005,0.185990256
10257720,1941,0.492223031
10257720,1940,0.142823683
10257720,1974,0.229026732
10257720,1985,0.498042987
10257720,1973,0.136440837
10257720,1977,0.084453846
10257720,1980,0.626371646
10257720,1980,0.021232557
10257720,2013,0.017382275
10258000,1941,0.054256866
10258000,1981,0.012683187
10258000,1979,0.004318717
10258000,1980,0.409041746
10258000,2013,0.26074465
10258500,1924,0.000563466
10258500,1929,0.005811772
10258500,1944,0.030501668
10258500,1920,0.04588191
10258500,1923,0.00415904
10258500,1928,0.007500369
10258500,1940,1.31E-05
10258500,1940,0.080020125
10258500,1942,0.167484323
10258500,1942,0.004039585
10258500,1956,0.014591266
