OBJECTID,FID_study_basins,SITE_NO,SQMI,ABS_DIFF,FID_cageol_poly_dd,AREA,PERIMETER,CAGEOL_DD_,CAGEOL_DD1,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,SOURCE,UNIT_AGE,ROCKTYPE1,ROCKTYPE2,Shape_Length,Shape_Area
218,21,11379500,92.561953770000002,0.001752746428570,1608,0.000860034228666,0.208706847934000,1610,6536,J,J2;0,CAJ2;0,CA001,Late Jurassic to Early Cretaceous,mudstone,sandstone,15713.394804084015000,6065291.562538106000000
219,21,11379500,92.561953770000002,0.001752746428570,1627,0.000170550960205,0.060360330144600,1629,6552,Mzv,MZv1;0,CAMZv1;0,CA001,Jurassic to Cretaceous,greenstone,basalt,4383.314053359642500,732089.804921086060000
220,21,11379500,92.561953770000002,0.001752746428570,1637,0.001829002552820,0.315823154228000,1639,6562,J,J2;0,CAJ2;0,CA001,Late Jurassic to Early Cretaceous,mudstone,sandstone,6999.142066666619900,1300810.966908427000000
221,21,11379500,92.561953770000002,0.001752746428570,1638,0.032140722092800,2.226611682280000,1640,6566,J,J2;0,CAJ2;0,CA001,Late Jurassic to Early Cretaceous,mudstone,sandstone,6426.575717890561500,1714474.332562491500000
222,21,11379500,92.561953770000002,0.001752746428570,1642,0.000296263690309,0.123867439057000,1644,6570,Mzv,MZv1;0,CAMZv1;0,CA001,Jurassic to Cretaceous,greenstone,basalt,5779.817230538705200,881375.550595203650000
223,21,11379500,92.561953770000002,0.001752746428570,1660,0.000234543468314,0.090974264843400,1662,6589,Mzv,MZv1;0,CAMZv1;0,CA001,Jurassic to Cretaceous,greenstone,basalt,5375.674951047753900,780197.670492893320000
224,22,11449500,36.642473010000003,0.001160464754100,23,0.968738550065000,23.011215252000000,25,4940,KJf,KJf1;0,CAKJf1;0,CA001,Jurassic to Cretaceous,sandstone,mudstone,54203.550933472710000,45021871.841615446000000
225,22,11449500,36.642473010000003,0.001160464754100,2413,0.016987915219700,1.571075008030000,2415,7327,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,9563.591910513147000,2802713.466649359100000
226,22,11449500,36.642473010000003,0.001160464754100,2516,0.017538924130300,1.152314463380000,2518,7457,Qv,Qv3;0,CAQv3;0,CA001,Quaternary (0-4 Ma),andesite,dacite,31515.497968640539000,7368723.734014974900000
227,22,11449500,36.642473010000003,0.001160464754100,2611,0.001431313798630,0.293743480768000,2613,7534,um,um3;0,CAum3;0,CA001,Middle to Late Jurassic,serpentinite,peridotite,28278.199188685663000,13764495.010837762000000
228,22,11449500,36.642473010000003,0.001160464754100,2635,0.001353719666680,0.293173440658000,2637,7559,Mzv,MZv1;0,CAMZv1;0,CA001,Jurassic to Cretaceous,greenstone,basalt,20777.081158785466000,4394649.689955056600000
229,22,11449500,36.642473010000003,0.001160464754100,2655,0.002400387709560,0.572550311867000,2657,7580,Ku,Ku1;0,CAKu1;0,CA001,Late Cretaceous,sandstone,mudstone,10525.797847964914000,2359063.950763610200000
230,22,11449500,36.642473010000003,0.001160464754100,2677,0.001072445832120,0.207559007034000,2679,7597,KJfm,KJfm;0,CAKJfm;0,CA001,Jurassic to Cretaceous,melange, ,11246.894531770544000,1735903.380942317700000
231,22,11449500,36.642473010000003,0.001160464754100,2679,0.001622304390070,0.235955223089000,2681,7602,Qv,Qv3;0,CAQv3;0,CA001,Quaternary (0-4 Ma),andesite,dacite,23062.353321933402000,8496309.509159851800000
232,22,11449500,36.642473010000003,0.001160464754100,2704,0.001179729350650,0.144758521346000,2706,7635,Qv,Qv3;0,CAQv3;0,CA001,Quaternary (0-4 Ma),andesite,dacite,14585.552861888862000,8641345.911755299200000
233,22,11449500,36.642473010000003,0.001160464754100,2716,0.000959750813791,0.215698699796000,2718,7647,um,um3;0,CAum3;0,CA001,Middle to Late Jurassic,serpentinite,peridotite,2515.116906729358600,243944.018755057710000
234,23,11469000,245.497862610000000,0.002032092285710,23,0.968738550065000,23.011215252000000,25,4940,KJf,KJf1;0,CAKJf1;0,CA001,Jurassic to Cretaceous,sandstone,mudstone,16557.752094373100000,5443891.064632518200000
235,23,11469000,245.497862610000000,0.002032092285710,1125,0.082237169605600,3.498223530860000,1127,6008,Ep,PN2;0,CAPN2;0,CA001,Paleocene to late Eocene,mudstone,sandstone,64700.510544696706000,40280330.925498590000000
236,23,11469000,245.497862610000000,0.002032092285710,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,179676.071984121230000,586283604.654504180000000
237,23,11469000,245.497862610000000,0.002032092285710,1378,0.001494271703550,0.197043561733000,1380,6267,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,3906.040049852714700,745999.322477957930000
238,23,11469000,245.497862610000000,0.002032092285710,1495,0.000476281303241,0.123463653571000,1497,6398,um,um3;0,CAum3;0,CA001,Middle to Late Jurassic,serpentinite,peridotite,11724.639941541185000,2665798.136302963800000
239,23,11469000,245.497862610000000,0.002032092285710,1526,0.001249153828380,0.297501394914000,1528,6428,P,PO;0,CAPO;0,CA001,Miocene to Pleistocene,sandstone,mudstone,1715.301659372256600,43757.452764192756000
240,25,11475800,247.917782969999990,0.000331520282258,23,0.968738550065000,23.011215252000000,25,4940,KJf,KJf1;0,CAKJf1;0,CA001,Jurassic to Cretaceous,sandstone,mudstone,201044.892230559750000,209744282.694019260000000
241,25,11475800,247.917782969999990,0.000331520282258,1125,0.082237169605600,3.498223530860000,1127,6008,Ep,PN2;0,CAPN2;0,CA001,Paleocene to late Eocene,mudstone,sandstone,9065.842343358825000,2352721.994048235500000
242,25,11475800,247.917782969999990,0.000331520282258,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,138105.662341474060000,330738532.848155500000000
243,25,11475800,247.917782969999990,0.000331520282258,1649,0.003084796631640,0.261476031828000,1651,6556,um,um3;0,CAum3;0,CA001,Middle to Late Jurassic,serpentinite,peridotite,25048.276270335049000,22227619.350027122000000
244,25,11475800,247.917782969999990,0.000331520282258,1726,0.002588433528090,0.252007520033000,1728,6615,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,25547.661941874063000,24586163.560825165000000
245,25,11475800,247.917782969999990,0.000331520282258,1798,0.003014386766640,0.394961388000000,1800,6683,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,5662.116849826042200,840703.757890804790000
246,25,11475800,247.917782969999990,0.000331520282258,1801,0.002019815627450,0.225284722816000,1803,6686,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,11556.383472845957000,3252033.772317724300000
247,25,11475800,247.917782969999990,0.000331520282258,1852,0.000432566654212,0.091486851457400,1854,6744,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,8548.165521371162000,4112825.986685873500000
248,25,11475800,247.917782969999990,0.000331520282258,1875,0.000968835871038,0.206892461480000,1877,6761,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,21023.702435846721000,9215038.835188962500000
249,25,11475800,247.917782969999990,0.000331520282258,1921,0.002143724333500,0.380491273671000,1923,6814,Q,Q;0,CAQ;0,CA001,Pliocene to Holocene,alluvium,terrace,30824.457755752996000,17643597.333489779000000
250,25,11475800,247.917782969999990,0.000331520282258,1968,0.000015078673236,0.014226124971700,1970,6852,water,water;0,CAwater;0,CA001,Holocene,water, ,1409.807249356761300,143523.123840655490000
251,26,11476600,27.739431719999999,0.012831611387900,1125,0.082237169605600,3.498223530860000,1127,6008,Ep,PN2;0,CAPN2;0,CA001,Paleocene to late Eocene,mudstone,sandstone,55013.171078413317000,62899095.211655430000000
252,26,11476600,27.739431719999999,0.012831611387900,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,26516.090288502986000,8901222.253193873900000
253,27,0000,1.370000000000000,0.000000000000000,23,0.968738550065000,23.011215252000000,25,4940,KJf,KJf1;0,CAKJf1;0,CA001,Jurassic to Cretaceous,sandstone,mudstone,15452.000000000000000,3540114.000000000000000
254,23,11469000,245.497862610000000,0.002032092285710,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,119.970358242402710,899.463043019141650
255,26,11476600,27.739431719999999,0.012831611387900,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,119.970358242402710,899.463043019141650
256,24,11475560,6.484163400000000,0.002436400000000,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,25047.132373811193000,16781675.295739837000000
257,25,11475800,247.917782969999990,0.000331520282258,1241,0.607454235032000,12.073758603100000,1243,6138,TK,TK;0,CATK;0,CA001,Late Cretaceous to Pliocene,sandstone,mudstone,25047.132373811193000,16781675.295739837000000
